Kljuc;Tekst;Fajl;Linija;Tip;NemackiOriginal;Napomena
LOG_MSG_MOGLICHER_DATENVERLUST_NACH;Möglicher Datenverlust nach Absturz!;modJournaling.bas;222;SUMNJIVO;Möglicher Datenverlust nach Absturz!;"[PREVESTI (Möglicher→moguc; Datenverlust→gubitak podataka; Absturz→pad aplikacije; nach→posle)]"
LIC_MSG_SERVER_NEDOSTUPAN_OFFLINE;Server nedostupan — offline grace (masina je vezana).;modLicense.bas;216;SUMNJIVO;;
LIC_MSG_PROPUSTAM_VEZANU_MASINU;' — propustam vezanu masinu.;modLicense.bas;267;SUMNJIVO;;
MATICNI_MSG_PODESAVANJA;Podešavanja;modMaticniLookups.bas;47;SUMNJIVO;;
MONITO_ERR_NAMERNO_TESTIRANA_VBA;Namerno testirana VBA greška bez sensitive podataka;modMonitoringTests.bas;54;SUMNJIVO;;
OTKUP_ERR_APPENDROW_FEHLGESCHLAGEN_FUR;AppendRow fehlgeschlagen für tblOtkup.;modOtkup.bas;499;SUMNJIVO;AppendRow fehlgeschlagen für tblOtkup.;"[PREVESTI (fehlgeschlagen→nije uspelo; für→za)]"
CFG_MSG_STAMPA_OTKUPNOG_LISTA;Štampa otkupnog lista;modPodesavanja.bas;91;SUMNJIVO;;
CFG_MSG_STAMPA_PALETNOG_LISTA;Štampa paletnog lista;modPodesavanja.bas;92;SUMNJIVO;;
CFG_MSG_STAMPA_PRIJEMNICE_AUTO;Štampa prijemnice (auto na unos);modPodesavanja.bas;93;SUMNJIVO;;
CFG_MSG_KUPAC_UNOSI_BRUTO;Kupac unosi BRUTO težinu (oduzmi ambalažu);modPodesavanja.bas;97;SUMNJIVO;;
CFG_MSG_MALINA_REZIM;Malina režim;modPodesavanja.bas;106;SUMNJIVO;;Koristi se i u: modPodesavanja.bas:107
CFG_MSG_PODESAVANJA_ZATVORENA;Podešavanja zatvorena.;modPodesavanja.bas;345;SUMNJIVO;;
CFG_MSG_PRIKAZI_CONFIG_TABELU;Prikaži config tabelu;modPodesavanja.bas;391;SUMNJIVO;;
SETUP_MSG_OVAJ_RACUNAR_PROSAO;Da li je ovaj racunar prošao SetupNewPC;modSetup.bas;70;SUMNJIVO;;Koristi se i u: modSetup.bas:90
SETUP_MSG_DATUM_VREME_ZAVRSETKA;Datum i vreme završetka setup-a;modSetup.bas;71;SUMNJIVO;;
SETUP_MSG_FOLDER_BANKARSKE_IZVODE;Folder za bankarske izvode sa greškom;modSetup.bas;244;SUMNJIVO;;Koristi se i u: modSetup.bas:449
SETUP_MSG_SEF_BASE_URL;- SEF_BASE_URL nije podešen.;modSetup.bas;523;SUMNJIVO;;
SETUP_MSG_SEF_API_KEY;- SEF_API_KEY nije podešen.;modSetup.bas;527;SUMNJIVO;;
SETUP_MSG_SEF_ENV_NIJE;- SEF_ENV nije podešen.;modSetup.bas;531;SUMNJIVO;;
SETUP_MSG_NIJE_PODESEN; nije podešen: ;modSetup.bas;635;SUMNJIVO;;
