Fajl;Linija;OrigLiteral;Zamena;Napomena
frmOtkup.frm;1014;"""Greška pri cuvanju otkupa. Promene su vracene.""";"Poruka(""OTKUP_MSG_GRESKA_PRI_CUVANJU"")";        MsgBox
frmOtkup.frm;1049;"""Greška pri unosu otkupa: """;"Poruka(""OTKUP_ERR_GRESKA_PRI_UNOSU"")";"CONCAT: MsgBox ""Greška pri unosu otkupa: "" & Err.description, vbCritical, APP_NAME"
frmOtkupAPP.frm;52;"""Greška pri pokretanju glavnog ekrana: """;"Poruka(""OTKUP_ERR_GRESKA_PRI_POKRETANJU"")";"CONCAT: MsgBox ""Greška pri pokretanju glavnog ekrana: "" & Err.description, vbCritical, APP_NAME"
frmOtkupAPP.frm;94;"""Greška pri proveri dokumenata. Pogledajte log.""";"Poruka(""OTKUP_LBL_GRESKA_PRI_PROVERI"")";    lblStatus.caption =
frmOtkupAPP.frm;378;"""Izveštaj""";"Poruka(""OTKUP_LBL_IZVESTAJ"")";    StyleNavButton btnReports,
frmOtkupAPP.frm;393;"""Marža""";"Poruka(""OTKUP_LBL_MARZA"")";    StyleNavButton btnMargin,
frmOtkupAPP.frm;396;"""Izveštaj o sledljivosti""";"Poruka(""OTKUP_LBL_IZVESTAJ_SLEDLJIVOSTI"")";    StyleNavButton btnTrace,
frmOtkupAPP.frm;629;"""Greška pri uvozu banke. Otvaram mapiranje za postojece stavke.""";"Poruka(""OTKUP_LBL_GRESKA_PRI_UVOZU"")";    lblStatus.caption =
frmOtkupAPP.frm;633;"""Greška pri uvozu bankovnih izvoda:""";"Poruka(""OTKUP_MSG_GRESKA_PRI_UVOZU"")";"CONCAT: MsgBox ""Greška pri uvozu bankovnih izvoda:"" & vbCrLf & errDesc & vbCrLf & vbCrLf & ""Mapiranje ce bit"
frmOtkupAPP.frm;684;"""Marža""";"Poruka(""OTKUP_LBL_MARZA"")";    OpenContentForm frmMarza, btnMargin,
frmOtkupAPP.frm;689;"""Sekcija: Izveštaj o sledljivosti""";"Poruka(""OTKUP_LBL_SEKCIJA_IZVESTAJ_SLEDLJIVOSTI"")";    lblStatus.caption =
frmOtkupAPP.frm;690;"""Izveštaj o sledljivosti""";"Poruka(""OTKUP_LBL_IZVESTAJ_SLEDLJIVOSTI"")";    OpenContentForm frmSledljivost, btnTrace,
frmOtkupAPP.frm;725;"""Greška pri snimanju. Pogledajte log.""";"Poruka(""OTKUP_LBL_GRESKA_PRI_SNIMANJU"")";    lblStatus.caption =
frmOtkupAPP.frm;729;"""Greška pri snimanju: """;"Poruka(""OTKUP_ERR_GRESKA_PRI_SNIMANJU"")";"CONCAT: MsgBox ""Greška pri snimanju: "" & Err.description, vbCritical, APP_NAME"
frmOtkupAPP.frm;754;"""Fajl nije uspešno sacuvan ili aplikacija nije zatvorena: """;"Poruka(""OTKUP_ERR_FAJL_NIJE_USPESNO"")";"CONCAT: MsgBox ""Fajl nije uspešno sacuvan ili aplikacija nije zatvorena: "" & Err.description, vbExclamation,"
frmOtkupAPP.frm;768;"""Greška pri otvaranju maticnih podataka: """;"Poruka(""OTKUP_ERR_GRESKA_PRI_OTVARANJU"")";"CONCAT: MsgBox ""Greška pri otvaranju maticnih podataka: "" & Err.description, vbCritical, APP_NAME"
frmOtkupAPP.frm;787;"""Greška pri otvaranju maticnih podataka: """;"Poruka(""OTKUP_ERR_GRESKA_PRI_OTVARANJU"")";"CONCAT: MsgBox ""Greška pri otvaranju maticnih podataka: "" & Err.description, vbCritical, APP_NAME"
frmOtkupAPP.frm;971;"""Greška pri otvaranju sekcije: """;"Poruka(""OTKUP_LBL_GRESKA_PRI_OTVARANJU"")";"CONCAT: ShowDashboardArea ""Greška pri otvaranju sekcije: "" & sectionTitle"
frmOtkupAPP.frm;976;"""Greška pri otvaranju sekcije '""";"Poruka(""OTKUP_ERR_GRESKA_PRI_OTVARANJU_2"")";"CONCAT: MsgBox ""Greška pri otvaranju sekcije '"" & sectionTitle & ""': "" & Err.description, vbCritical, APP_NA"
frmOtkupAPP.frm;1091;"""Današnji otkup""";"Poruka(""OTKUP_LBL_DANASNJI_OTKUP"")";        .caption =
frmOtkupAPP.frm;1151;""" otpremnica  •  """;"Poruka(""OTKUP_LBL_OTPREMNICA"")";"CONCAT: lblKPISub.caption = cntOtp & "" otpremnica  •  "" & cntPrij & "" prijemnica"""
frmPalete.frm;93;"""Pregled paleta, štampa i prerada""";"Poruka(""PAL_LBL_PREGLED_PALETA_STAMPA"")";    StyleSubtitle lblSubtitle,
frmSEF.frm;89;"""Pošalji na SEF""";"Poruka(""SEF_LBL_POSALJI_SEF"")";    StylePrimaryButton btnPosalji,
frmSEF.frm;90;"""Osveži status""";"Poruka(""SEF_LBL_OSVEZI_STATUS"")";    StylePrimaryButton btnOsvezi,
frmSEF.frm;92;"""Otkaži slanje na SEF""";"Poruka(""SEF_LBL_OTKAZI_SLANJE_SEF"")";    StylePrimaryButton btnCancel,
frmSEF.frm;97;"""Osveži sve Pending""";"Poruka(""SEF_LBL_OSVEZI_SVE_PENDING"")";    StylePrimaryButton btnRefreshPending,
frmSEF.frm;159;"""Greška pri otvaranju SEF forme: """;"Poruka(""SEF_ERR_GRESKA_PRI_OTVARANJU"")";"CONCAT: MsgBox ""Greška pri otvaranju SEF forme: "" & Err.description, vbExclamation, APP_NAME"
frmSEF.frm;199;"""Osveži status""";"Poruka(""SEF_LBL_OSVEZI_STATUS"")";    StylePrimaryButton btnOsvezi,
frmSEF.frm;201;"""Otkaži slanje na SEF""";"Poruka(""SEF_LBL_OTKAZI_SLANJE_SEF"")";    StylePrimaryButton btnCancel,
frmSEF.frm;204;"""Osveži sve Pending""";"Poruka(""SEF_LBL_OSVEZI_SVE_PENDING"")";    StylePrimaryButton btnRefreshPending,
frmSEF.frm;401;"""Pošalji na SEF""";"Poruka(""SEF_LBL_POSALJI_SEF"")";        Me.btnPosalji.caption =
frmSEF.frm;405;"""Pošalji na SEF""";"Poruka(""SEF_LBL_POSALJI_SEF"")";        Me.btnPosalji.caption =
frmSEF.frm;484;"""SEF status osvežen.""";"Poruka(""SEF_MSG_SEF_STATUS_OSVEZEN"")";    MsgBox
frmSEF.frm;540;"""Cancel uspešno poslat.""";"Poruka(""SEF_MSG_CANCEL_USPESNO_POSLAT"")";        MsgBox
frmSEF.frm;578;"""Storno uspešno poslat.""";"Poruka(""SEF_MSG_STORNO_USPESNO_POSLAT"")";        MsgBox
frmSEF.frm;603;"""Recovery završen.""";"Poruka(""SEF_MSG_RECOVERY_ZAVRSEN"")";    MsgBox
frmSEF.frm;617;"""Pending fakture osvežene.""";"Poruka(""SEF_MSG_PENDING_FAKTURE_OSVEZENE"")";    MsgBox
frmSEF.frm;631;"""SEF_SENDING recovery završen.""";"Poruka(""SEF_MSG_SEF_SENDING_RECOVERY"")";    MsgBox
frmSEF.frm;674;"""- SENDING: Faktura se trenutno šalje.""";"Poruka(""SEF_MSG_SENDING_FAKTURA_TRENUTNO"")";"CONCAT: helpText = ""UPUTSTVO ZA SEF UPRAVLJANJE"" & vbCrLf & ""============================"" & vbCrLf & vbCrLf"
frmSEF.frm;675;"""- SENT: Faktura uspešno primljena na SEF.""";"Poruka(""SEF_MSG_SENT_FAKTURA_USPESNO"")";"CONCAT: helpText = ""UPUTSTVO ZA SEF UPRAVLJANJE"" & vbCrLf & ""============================"" & vbCrLf & vbCrLf"
frmSEF.frm;677;"""- REJECTED: Greška! Proveri 'Poslednja greška'.""";"Poruka(""SEF_MSG_REJECTED_GRESKA_PROVERI"")";"CONCAT: helpText = ""UPUTSTVO ZA SEF UPRAVLJANJE"" & vbCrLf & ""============================"" & vbCrLf & vbCrLf"
frmSEF.frm;679;"""Izaberi fakturu iz liste -> Klikni 'Pošalji na SEF'.""";"Poruka(""SEF_MSG_IZABERI_FAKTURU_LISTE"")";"CONCAT: helpText = ""UPUTSTVO ZA SEF UPRAVLJANJE"" & vbCrLf & ""============================"" & vbCrLf & vbCrLf"
frmSEF.frm;681;"""3. TEHNICKA PODRŠKA:""";"Poruka(""SEF_MSG_TEHNICKA_PODRSKA"")";"CONCAT: helpText = ""UPUTSTVO ZA SEF UPRAVLJANJE"" & vbCrLf & ""============================"" & vbCrLf & vbCrLf"
frmSEF.frm;682;"""Za sve probleme koji se ne rešavaju sa 'Osveži status',""";"Poruka(""SEF_MSG_SVE_PROBLEME_KOJI"")";"CONCAT: helpText = ""UPUTSTVO ZA SEF UPRAVLJANJE"" & vbCrLf & ""============================"" & vbCrLf & vbCrLf"
frmSEF.frm;683;"""kontaktiraj administratora i pošalji SEF Event Log (donja tabela).""";"Poruka(""SEF_MSG_KONTAKTIRAJ_ADMINISTRATORA_POSALJI"")";"CONCAT: helpText = ""UPUTSTVO ZA SEF UPRAVLJANJE"" & vbCrLf & ""============================"" & vbCrLf & vbCrLf"
frmSledljivost.frm;67;"""Poveži""";"Poruka(""SLED_LBL_POVEZI"")";    StylePrimaryButton btnPovezi,
frmSledljivost.frm;68;"""Štampaj""";"Poruka(""FAK_LBL_STAMPAJ"")";    StylePrimaryButton btnStampaj,
frmSledljivost.frm;131;"""Poveži""";"Poruka(""SLED_LBL_POVEZI"")";    StylePrimaryButton btnPovezi,
frmSledljivost.frm;132;"""Štampaj""";"Poruka(""FAK_LBL_STAMPAJ"")";    StylePrimaryButton btnStampaj,
frmStammdaten.frm;92;"""Obriši geo""";"Poruka(""STM_LBL_OBRISI_GEO"")";    StyleExitButton btnGeoClear,
frmStammdaten.frm;138;"""Greška pri otvaranju maticnih podataka: """;"Poruka(""OTKUP_ERR_GRESKA_PRI_OTVARANJU"")";"CONCAT: MsgBox ""Greška pri otvaranju maticnih podataka: "" & Err.description, vbCritical, APP_NAME"
frmStammdaten.frm;780;"""Cene po proizvodu — svaka promena je novi red (vazi poslednji)""";"Poruka(""STM_LBL_CENE_PROIZVODU_SVAKA"")";    StyleSubtitle lblSubtitle,
frmStammdaten.frm;935;"""Greška pri promeni statusa: """;"Poruka(""STM_ERR_GRESKA_PRI_PROMENI"")";"CONCAT: MsgBox ""Greška pri promeni statusa: "" & Err.description, vbCritical, APP_NAME"
frmStammdaten.frm;1225;"""Greška pri ucitavanju liste: """;"Poruka(""STM_ERR_GRESKA_PRI_UCITAVANJU"")";"CONCAT: MsgBox ""Greška pri ucitavanju liste: "" & Err.description, vbCritical, APP_NAME"
frmStammdaten.frm;1522;"""Unesite katastarsku opštinu!""";"Poruka(""STM_MSG_UNESITE_KATASTARSKU_OPSTINU"")";                MsgBox
frmStammdaten.frm;1545;"""Unesite validnu površinu!""";"Poruka(""STM_MSG_UNESITE_VALIDNU_POVRSINU"")";                MsgBox
frmStammdaten.frm;1668;"""Greška pri dodavanju!""";"Poruka(""STM_MSG_GRESKA_PRI_DODAVANJU"")";                MsgBox
frmStammdaten.frm;1807;"""Greška pri dodavanju cene!""";"Poruka(""STM_MSG_GRESKA_PRI_DODAVANJU_2"")";                MsgBox
frmStammdaten.frm;1832;"""Greška pri dodavanju!""";"Poruka(""STM_MSG_GRESKA_PRI_DODAVANJU"")";        MsgBox
frmStammdaten.frm;1839;"""Greška pri dodavanju: """;"Poruka(""STM_ERR_GRESKA_PRI_DODAVANJU"")";"CONCAT: MsgBox ""Greška pri dodavanju: "" & Err.description, vbCritical, APP_NAME"
frmStammdaten.frm;1997;"""Unesite katastarsku opštinu!""";"Poruka(""STM_MSG_UNESITE_KATASTARSKU_OPSTINU"")";                MsgBox
frmStammdaten.frm;2015;"""Unesite validnu površinu!""";"Poruka(""STM_MSG_UNESITE_VALIDNU_POVRSINU"")";                MsgBox
frmStammdaten.frm;2222;"""Za novu cenu koristite 'Dodaj' — stari redovi ostaju radi istorije.""";"Poruka(""STM_MSG_NOVU_CENU_KORISTITE"")";"CONCAT: MsgBox ""Cenovnik je append-only."" & vbCrLf & ""Za novu cenu koristite 'Dodaj' — stari redovi ostaju r"
frmStammdaten.frm;2249;"""Greška pri izmeni: """;"Poruka(""STM_ERR_GRESKA_PRI_IZMENI"")";"CONCAT: MsgBox ""Greška pri izmeni: "" & Err.description, vbCritical, APP_NAME"
frmStammdaten.frm;2430;"""Parcela nema katastarski broj ili katastarsku opštinu.""";"Poruka(""STM_MSG_PARCELA_NEMA_KATASTARSKI"")";        SetGeoStatus
frmStammdaten.frm;2444;"""Greška pri otvaranju GeoSrbije. Pogledaj log.""";"Poruka(""STM_MSG_GRESKA_PRI_OTVARANJU"")";    SetGeoStatus
frmStammdaten.frm;2496;"""Greška pri cuvanju geo podataka. Pogledaj log.""";"Poruka(""STM_MSG_GRESKA_PRI_CUVANJU"")";    SetGeoStatus
frmStammdaten.frm;2511;"""Klikni još jednom za brisanje geo podataka.""";"Poruka(""STM_MSG_KLIKNI_JOS_JEDNOM"")";        SetGeoStatus
frmStammdaten.frm;2536;"""Greška pri brisanju geo podataka. Pogledaj log.""";"Poruka(""STM_MSG_GRESKA_PRI_BRISANJU"")";    SetGeoStatus
frmStammdaten.frm;2572;"""Greška pri ucitavanju koordinata. Pogledaj log.""";"Poruka(""STM_MSG_GRESKA_PRI_UCITAVANJU"")";    SetGeoStatus
frmStammdaten.frm;2623;"""Greška pri otvaranju Google Maps. Pogledaj log.""";"Poruka(""STM_MSG_GRESKA_PRI_OTVARANJU_2"")";    SetGeoStatus
frmStammdaten.frm;2685;"""Greška pri otvaranju polygon editora. Pogledaj log.""";"Poruka(""STM_MSG_GRESKA_PRI_OTVARANJU_3"")";    SetGeoStatus
frmStammdaten.frm;2717;"""Obriši geo""";"Poruka(""STM_LBL_OBRISI_GEO"")";    btnGeoClear.caption =
frmStammdaten.frm;2851;"""Greška pri ucitavanju stanica: """;"Poruka(""STM_ERR_GRESKA_PRI_UCITAVANJU_2"")";"CONCAT: MsgBox ""Greška pri ucitavanju stanica: "" & Err.description, vbCritical, APP_NAME"
modAgrohemija.bas;245;"""Greška pri unosu magacina, promene vracene: """;"Poruka(""AGRO_MSG_GRESKA_PRI_UNOSU"")";"CONCAT: MsgBox ""Greška pri unosu magacina, promene vracene: "" & errDesc, vbCritical, APP_NAME"
modBankaImportParserPdfToText.bas;267;"""PDF auswählen""";"Poruka(""BANKA_LBL_PDF_AUSWAHLEN"")";        .title =
modDokumenta.bas;1249;"""Nema ambalaže ni novca za cuvanje.""";"Poruka(""DOK_ERR_NEMA_AMBALAZE_NOVCA"")";"Err.Raise vbObjectError + 1602, ""SaveKupciIzlaz_TX"", ""Nema ambalaže ni novca za "
modFaktura.bas;437;"""Stornirana faktura se ne može štampati kao aktivna faktura: """;"Poruka(""FAK_ERR_STORNIRANA_FAKTURA_MOZE"")";"CONCAT: Err.Raise vbObjectError + 1736, ""PrintFaktura"", ""Stornirana faktura se ne može štampati kao aktivna "
modGoogleAuth.bas;81;"""Token-Austausch fehlgeschlagen. Prüfe Client ID/Secret.""";"Poruka(""GAUTH_MSG_TOKEN_AUSTAUSCH_FEHLGESCHLAGEN"")";        MsgBox
modLicense.bas;216;"""Server nedostupan — offline grace (masina je vezana).""";"Poruka(""LIC_MSG_SERVER_NEDOSTUPAN_OFFLINE"")";            LogWarn SRC,
modLicense.bas;267;"""' — propustam vezanu masinu.""";"Poruka(""LIC_MSG_PROPUSTAM_VEZANU_MASINU"")";"CONCAT: LogWarn SRC, ""Prolazna greska/status='"" & status & ""' — propustam vezanu masinu."""
modMasterSync.bas;201;"""Uvoz OTK nije potvrden zbog fatal sync greške.""";"Poruka(""SYNC_ERR_UVOZ_OTK_NIJE"")";"CONCAT: MsgBox ""Uvoz OTK nije potvrden zbog fatal sync greške."" & vbCrLf & ""Uvezeno: "" & CStr(totalImported)"
modMasterSync.bas;204;"""Greške: """;"Poruka(""SYNC_ERR_GRESKE"")";"CONCAT: MsgBox ""Uvoz OTK nije potvrden zbog fatal sync greške."" & vbCrLf & ""Uvezeno: "" & CStr(totalImported)"
modMasterSync.bas;224;"""Uvoz OTK završen sa greškama.""";"Poruka(""SYNC_ERR_UVOZ_OTK_ZAVRSEN"")";"CONCAT: MsgBox ""Uvoz OTK završen sa greškama."" & vbCrLf & vbCrLf & ""Fajlova: "" & CStr(filesCount) & vbCrLf &"
modMasterSync.bas;228;"""Greške: """;"Poruka(""SYNC_ERR_GRESKE"")";"CONCAT: MsgBox ""Uvoz OTK završen sa greškama."" & vbCrLf & vbCrLf & ""Fajlova: "" & CStr(filesCount) & vbCrLf &"
modMasterSync.bas;245;"""Uvoz OTK završen!""";"Poruka(""SYNC_ERR_UVOZ_OTK_ZAVRSEN_2"")";"CONCAT: MsgBox ""Uvoz OTK završen!"" & vbCrLf & vbCrLf & ""Fajlova: "" & CStr(filesCount) & vbCrLf & ""Uvezeno: """
modMasterSync.bas;249;"""Greške: """;"Poruka(""SYNC_ERR_GRESKE"")";"CONCAT: MsgBox ""Uvoz OTK završen!"" & vbCrLf & vbCrLf & ""Fajlova: "" & CStr(filesCount) & vbCrLf & ""Uvezeno: """
modMasterSync.bas;280;"""Greška pri uvozu OTK: """;"Poruka(""SYNC_MSG_GRESKA_PRI_UVOZU"")";"CONCAT: MsgBox ""Greška pri uvozu OTK: "" & errDesc, vbCritical, APP_NAME"
modMasterSync.bas;309;"""PWA uvoz nije potvrden. Promene su vracene zbog fatal sync greške. Proveri log.""";"Poruka(""SYNC_MSG_PWA_UVOZ_NIJE"")";        MsgBox
modMasterSync.bas;316;"""PWA uvoz završen i potvrden.""";"Poruka(""SYNC_MSG_PWA_UVOZ_ZAVRSEN"")";    MsgBox
modMasterSync.bas;2073;"""Uvoz zbirnih nije potvrden zbog fatal sync greške.""";"Poruka(""SYNC_ERR_UVOZ_ZBIRNIH_NIJE"")";"CONCAT: MsgBox ""Uvoz zbirnih nije potvrden zbog fatal sync greške."" & vbCrLf & ""Uvezeno: "" & CStr(totalImpor"
modMasterSync.bas;2076;"""Greške: """;"Poruka(""SYNC_ERR_GRESKE"")";"CONCAT: MsgBox ""Uvoz zbirnih nije potvrden zbog fatal sync greške."" & vbCrLf & ""Uvezeno: "" & CStr(totalImpor"
modMasterSync.bas;2096;"""Uvoz zbirnih završen sa greškama.""";"Poruka(""SYNC_ERR_UVOZ_ZBIRNIH_ZAVRSEN"")";"CONCAT: MsgBox ""Uvoz zbirnih završen sa greškama."" & vbCrLf & vbCrLf & ""Fajlova: "" & CStr(filesCount) & vbCr"
modMasterSync.bas;2100;"""Greške: """;"Poruka(""SYNC_ERR_GRESKE"")";"CONCAT: MsgBox ""Uvoz zbirnih završen sa greškama."" & vbCrLf & vbCrLf & ""Fajlova: "" & CStr(filesCount) & vbCr"
modMasterSync.bas;2117;"""Uvoz zbirnih završen!""";"Poruka(""SYNC_ERR_UVOZ_ZBIRNIH_ZAVRSEN_2"")";"CONCAT: MsgBox ""Uvoz zbirnih završen!"" & vbCrLf & vbCrLf & ""Fajlova: "" & CStr(filesCount) & vbCrLf & ""Uvezen"
modMasterSync.bas;2121;"""Greške: """;"Poruka(""SYNC_ERR_GRESKE"")";"CONCAT: MsgBox ""Uvoz zbirnih završen!"" & vbCrLf & vbCrLf & ""Fajlova: "" & CStr(filesCount) & vbCrLf & ""Uvezen"
modMasterSync.bas;2152;"""Greška pri uvozu zbirnih: """;"Poruka(""SYNC_MSG_GRESKA_PRI_UVOZU_2"")";"CONCAT: MsgBox ""Greška pri uvozu zbirnih: "" & errDesc, vbCritical, APP_NAME"
modMasterSync.bas;2181;"""Uvoz zbirnih završen sa greškama ili fatal sync problemom.""";"Poruka(""SYNC_MSG_UVOZ_ZBIRNIH_ZAVRSEN"")";"CONCAT: MsgBox ""Uvoz zbirnih završen sa greškama ili fatal sync problemom."" & vbCrLf & ""Uspešni redovi koji "
modMasterSync.bas;2182;"""Uspešni redovi koji su potvrdeni kroz row-level TX ostaju upisani.""";"Poruka(""SYNC_MSG_USPESNI_REDOVI_KOJI"")";"CONCAT: MsgBox ""Uvoz zbirnih završen sa greškama ili fatal sync problemom."" & vbCrLf & ""Uspešni redovi koji "
modMasterSync.bas;2183;"""Neuspešni redovi su oznaceni kao greška gde je writeback uspeo.""";"Poruka(""SYNC_MSG_NEUSPESNI_REDOVI_OZNACENI"")";"CONCAT: MsgBox ""Uvoz zbirnih završen sa greškama ili fatal sync problemom."" & vbCrLf & ""Uspešni redovi koji "
modMasterSync.bas;2189;"""Uvoz zbirnih završen i potvrden.""";"Poruka(""SYNC_MSG_UVOZ_ZBIRNIH_ZAVRSEN_2"")";    MsgBox
modMasterSync.bas;2205;"""Greška pri uvozu zbirnih: """;"Poruka(""SYNC_MSG_GRESKA_PRI_UVOZU_2"")";"CONCAT: MsgBox ""Greška pri uvozu zbirnih: "" & errDesc, vbCritical, APP_NAME"
modMaticniLookups.bas;47;"""Podešavanja""";"Poruka(""MATICNI_MSG_PODESAVANJA"")";        Array(
modMonitoringTests.bas;54;"""Namerno testirana VBA greška bez sensitive podataka""";"Poruka(""MONITO_ERR_NAMERNO_TESTIRANA_VBA"")";"    Err.Raise 9101, ""TestMonitoring_ErrorEvent"","
modOtkupBlok.bas;104;"""Otkupni blokovi  »""";"Poruka(""OTKUP_LBL_OTKUPNI_BLOKOVI"")";    mBtnToggle.caption =
modOtkupBlok.bas;106;"""Otkupni blokovi  »""";"Poruka(""OTKUP_LBL_OTKUPNI_BLOKOVI"")";    StylePrimaryButton mBtnToggle,
modOtkupBlok.bas;273;"""«  Sakrij blokove""";"Poruka(""OTKUP_LBL_SAKRIJ_BLOKOVE"")";        mBtnToggle.caption =
modOtkupBlok.bas;276;"""Otkupni blokovi  »""";"Poruka(""OTKUP_LBL_OTKUPNI_BLOKOVI"")";        mBtnToggle.caption =
modOtkupBlok.bas;304;"""Ukupno kg: —""";"Poruka(""OTKUP_LBL_UKUPNO"")";    mLblUkupno.caption =
modOtkupBlok.bas;305;"""U blokovima: —""";"Poruka(""OTKUP_LBL_BLOKOVIMA"")";    mLblNapisano.caption =
modOtkupBlok.bas;306;"""Ostatak: —""";"Poruka(""OTKUP_LBL_OSTATAK"")";    mLblPreostalo.caption =
modOtkupBlok.bas;319;"""Ukupno amb: —""";"Poruka(""OTKUP_LBL_UKUPNO_AMB"")";    mLblUkupnoAmb.caption =
modOtkupBlok.bas;320;"""U blokovima amb: —""";"Poruka(""OTKUP_LBL_BLOKOVIMA_AMB"")";    mLblNapisanoAmb.caption =
modOtkupBlok.bas;321;"""Ostatak amb: —""";"Poruka(""OTKUP_LBL_OSTATAK_AMB"")";    mLblPreostaloAmb.caption =
modOtkupBlok.bas;1154;"""Ukupno kg: —""";"Poruka(""OTKUP_LBL_UKUPNO"")";        mLblUkupno.caption =
modOtkupBlok.bas;1155;"""U blokovima: —""";"Poruka(""OTKUP_LBL_BLOKOVIMA"")";        mLblNapisano.caption =
modOtkupBlok.bas;1156;"""Ostatak: —""";"Poruka(""OTKUP_LBL_OSTATAK"")";        mLblPreostalo.caption =
modOtkupBlok.bas;1157;"""Ukupno amb: —""";"Poruka(""OTKUP_LBL_UKUPNO_AMB"")";        mLblUkupnoAmb.caption =
modOtkupBlok.bas;1158;"""U blokovima amb: —""";"Poruka(""OTKUP_LBL_BLOKOVIMA_AMB"")";        mLblNapisanoAmb.caption =
modOtkupBlok.bas;1159;"""Ostatak amb: —""";"Poruka(""OTKUP_LBL_OSTATAK_AMB"")";        mLblPreostaloAmb.caption =
modPodesavanja.bas;91;"""Štampa otkupnog lista""";"Poruka(""CFG_MSG_STAMPA_OTKUPNOG_LISTA"")";"    CfgAdd c, ""Otkup / dokumenta"", ""OTKUP_PRINT_MODE"","
modPodesavanja.bas;92;"""Štampa paletnog lista""";"Poruka(""CFG_MSG_STAMPA_PALETNOG_LISTA"")";"    CfgAdd c, ""Otkup / dokumenta"", ""PALETA_PRINT_MODE"","
modPodesavanja.bas;93;"""Štampa prijemnice (auto na unos)""";"Poruka(""CFG_MSG_STAMPA_PRIJEMNICE_AUTO"")";"    CfgAdd c, ""Otkup / dokumenta"", ""PRIJEMNICA_PRINT_MODE"","
modPodesavanja.bas;97;"""Kupac unosi BRUTO težinu (oduzmi ambalažu)""";"Poruka(""CFG_MSG_KUPAC_UNOSI_BRUTO"")";"    CfgAdd c, ""Otkup / dokumenta"", ""OTKUP_BRUTO_UNOS"","
modPodesavanja.bas;106;"""Malina režim""";"Poruka(""CFG_MSG_MALINA_REZIM"")";    CfgAdd c,
modPodesavanja.bas;107;"""Malina režim""";"Poruka(""CFG_MSG_MALINA_REZIM"")";"CONCAT: CfgAdd c, ""Malina režim"", ""MALINA_DEFAULT_KUPAC"", ""Podrazumevani kupac/hladnjaca (KupacID)"", ""list:"""
modPodesavanja.bas;181;"""Podešavanja (tblSEFConfig)""";"Poruka(""CFG_LBL_PODESAVANJA_TBLSEFCONFIG"")";    lblTitle.caption =
modPodesavanja.bas;229;"""— """;"Poruka(""CFG_LBL_STR"")";"CONCAT: hdr.caption = ""— "" & grp & "" —"""
modPodesavanja.bas;229;""" —""";"Poruka(""CFG_LBL_STR_2"")";"CONCAT: hdr.caption = ""— "" & grp & "" —"""
modPodesavanja.bas;282;"""Greška pri otvaranju podešavanja: """;"Poruka(""CFG_ERR_GRESKA_PRI_OTVARANJU"")";"CONCAT: MsgBox ""Greška pri otvaranju podešavanja: "" & Err.description, vbCritical, APP_NAME"
modPodesavanja.bas;333;"""Preskoceno (greška):""";"Poruka(""CFG_MSG_PRESKOCENO_GRESKA"")";"CONCAT: MsgBox ""Sacuvano: "" & n & "" polja."" & vbCrLf & vbCrLf & ""Preskoceno (greška):"" & vbCrLf & errs, vbEx"
modPodesavanja.bas;340;"""Greška pri cuvanju: """;"Poruka(""CFG_ERR_GRESKA_PRI_CUVANJU"")";"CONCAT: MsgBox ""Greška pri cuvanju: "" & Err.description, vbCritical, APP_NAME"
modPodesavanja.bas;345;"""Podešavanja zatvorena.""";"Poruka(""CFG_MSG_PODESAVANJA_ZATVORENA"")";    frmOtkupAPP.ReturnToDashboard
modPodesavanja.bas;365;"""(Izlaz u nuždi: Alt+F8 -> ShowConfigSheet.)""";"Poruka(""CFG_MSG_IZLAZ_NUZDI_ALT"")";"CONCAT: MsgBox ""tblSEFConfig je sada SAKRIVEN (VeryHidden)."" & vbCrLf & ""Ureduj ga iskljucivo preko ove form"
modPodesavanja.bas;391;"""Prikaži config tabelu""";"Poruka(""CFG_MSG_PRIKAZI_CONFIG_TABELU"")";    ToggleCaption = IIf(ConfigSheetIsHidden(),
modSetup.bas;70;"""Da li je ovaj racunar prošao SetupNewPC""";"Poruka(""SETUP_MSG_OVAJ_RACUNAR_PROSAO"")";"        SetLocalConfigValue ""APP_SETUP_COMPLETED"", ""DA"","
modSetup.bas;71;"""Datum i vreme završetka setup-a""";"Poruka(""SETUP_MSG_DATUM_VREME_ZAVRSETKA"")";"tLocalConfigValue ""APP_SETUP_COMPLETED_AT"", Format$(Now, ""yyyy-mm-dd hh:nn:ss""),"
modSetup.bas;85;"""Setup je uspešno završen.""";"Poruka(""SETUP_MSG_SETUP_USPESNO_ZAVRSEN"")";"CONCAT: MsgBox ""Setup je uspešno završen."" & vbCrLf & vbCrLf & ""Aplikacija je spremna za ovaj racunar."" & vb"
modSetup.bas;87;"""Podešavanja: Maticni podaci -> Podešavanja (tblSEFConfig je skriven).""";"Poruka(""SETUP_MSG_PODESAVANJA_MATICNI_PODACI"")";"CONCAT: MsgBox ""Setup je uspešno završen."" & vbCrLf & vbCrLf & ""Aplikacija je spremna za ovaj racunar."" & vb"
modSetup.bas;90;"""Da li je ovaj racunar prošao SetupNewPC""";"Poruka(""SETUP_MSG_OVAJ_RACUNAR_PROSAO"")";"        SetLocalConfigValue ""APP_SETUP_COMPLETED"", ""NE"","
