competitor,source_list,source_item,source_page,location,reference_name,category,classification_confidence,agrix_potential,note,evidence_status
INFOSYS,Infosys referentna lista — agro i prehrambene firme,801,4,Užice,AGRO-SUNCOKRET DOO UZICE,Poljoprivreda i kooperative,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,835,4,Užice,GORAN COSIC PR COSIC FRIGO,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,863,4,Užice,NOVA PEKARA DOO,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,870,4,Užice,PEKARSKA RADIONICA PEKAR STARCEVIC UZICE,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,871,4,Užice,PEKARSKO TRGOVINSKA RADNJA JELOVA GORA,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,920,4,Bujaci,WINE NET DOO BUJACIĆ,"Vino, pivo i ostala pića",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,966,4,Zemun,VINOMOND DOO BEOGRAD,"Vino, pivo i ostala pića",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,978,5,Zlatibor,KRALJEVA VODA DOO,"Vino, pivo i ostala pića",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,980,5,Zlatibor,MARKO SMILJANIC PR MOJA ZLATIBORKA,"Žitarice, pekarstvo i konditorska industrija",Potrebna provera,Srednji,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,981,5,Zlatibor,MASTER FRIGO d.o.o.,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,984,5,Zlatibor,PK ZLATIBOR d.o.o.,Poljoprivreda i kooperative,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,987,5,Zlatibor,RIVAMIL DOO ARILJE,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,988,5,Zlatibor,SMUDJA DOO ZLATIBOR,"Stočarstvo, ribarstvo i veterina",Potrebna provera,Nizak,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,995,5,Zlatibor,VESNA SMILJANIC PR ZLATIBORKA,"Žitarice, pekarstvo i konditorska industrija",Potrebna provera,Srednji,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,1001,5,Žagubica,PASTRMSKI RIBNJAK RM -MLAVA DOO ZAGUBICA,"Stočarstvo, ribarstvo i veterina",Jasno iz naziva,Nizak,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,1017,5,Pljevlja,ZITOPRODUKT DOO,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,1055,5,Srebrenica,"""Master Fruits"" d.o.o. Srebrenica","Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,1063,5,Zvornik,STUDEN PROM d.o.o,Opšta prehrambena industrija,Potrebna provera,Srednji,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
